City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Henties Bay,-22.116,14.2845,65.86,83,85,2.89,NA,2022-02-02 02:21:02
68,Galle,6.0367,80.217,73.63,82,11,7.85,LK,2022-02-02 02:25:21
69,Saint-Philippe,-21.3585,55.7679,81.95,93,100,24.29,RE,2022-02-02 02:25:22
70,Hoima,1.4356,31.3436,71.17,54,100,2.95,UG,2022-02-02 02:25:22
71,Mataura,-46.1927,168.8643,72.48,64,97,5.46,NZ,2022-02-02 02:25:22
72,Naliya,23.2667,68.8333,66.67,85,0,6.91,IN,2022-02-02 02:25:23
73,Talnakh,69.4865,88.3972,2.21,95,100,7.72,RU,2022-02-02 02:22:03
74,Airai,-8.9266,125.4092,72.01,58,79,5.35,TL,2022-02-02 02:25:24
75,Byron Bay,-28.65,153.6167,87.91,66,100,2.33,AU,2022-02-02 02:25:25
76,Nikolskoye,59.7035,30.7861,24.69,98,99,2.64,RU,2022-02-02 02:25:25
77,Cayenne,4.9333,-52.3333,76.08,90,100,5.75,GF,2022-02-02 02:25:26
78,Margate,51.3813,1.3862,51.66,78,100,5.99,GB,2022-02-02 02:23:24
79,Dunedin,-45.8742,170.5036,77.18,58,58,17.4,NZ,2022-02-02 02:22:32
80,Makat,47.6469,53.3463,28.71,96,94,3.69,KZ,2022-02-02 02:25:26
81,Port Hedland,-20.3167,118.5667,87.85,74,100,5.75,AU,2022-02-02 02:20:41
82,Bundaberg,-24.85,152.35,89.89,73,40,7.0,AU,2022-02-02 02:25:27
83,Los Llanos De Aridane,28.6585,-17.9182,62.35,63,0,3.44,ES,2022-02-02 02:25:28
84,Venado Tuerto,-33.7456,-61.9688,72.79,47,0,5.88,AR,2022-02-02 02:25:28
85,High Level,58.5169,-117.136,-18.29,76,0,0.0,CA,2022-02-02 02:25:20
86,Ostrovnoy,68.0531,39.5131,20.48,90,100,11.65,RU,2022-02-02 02:23:12
87,Ust-Tsilma,65.441,52.1498,11.08,95,100,6.17,RU,2022-02-02 02:25:30
88,Palekh,56.8028,41.8572,20.84,94,100,10.16,RU,2022-02-02 02:25:30
89,Tinde,-3.8833,33.2,63.45,96,99,2.62,TZ,2022-02-02 02:25:31
90,Hofn,64.2539,-15.2082,25.5,68,72,10.92,IS,2022-02-02 02:25:31
91,Dongsheng,39.8161,109.9776,13.68,27,0,6.31,CN,2022-02-02 02:25:32
92,Berlevag,70.8578,29.0864,21.83,74,76,8.68,NO,2022-02-02 02:27:24
93,Tezu,27.9167,96.1667,57.97,75,99,0.47,IN,2022-02-02 02:27:24
94,Bengkulu,-3.8004,102.2655,74.91,79,100,4.81,ID,2022-02-02 02:27:25
95,Tasiilaq,65.6145,-37.6368,10.56,72,100,5.1,GL,2022-02-02 02:27:25
96,Qaqortoq,60.7167,-46.0333,14.5,89,8,4.5,GL,2022-02-02 02:27:26
97,Yellowknife,62.456,-114.3525,-27.58,80,0,5.75,CA,2022-02-02 02:27:26
98,Solnechnyy,50.7214,136.6319,3.31,91,100,2.51,RU,2022-02-02 02:23:22
99,Kloulklubed,7.0419,134.2556,84.7,75,100,20.0,PW,2022-02-02 02:27:27
100,Arraial Do Cabo,-22.9661,-42.0278,75.54,90,100,10.42,BR,2022-02-02 02:27:28
101,Sept-Iles,50.2001,-66.3821,2.05,66,100,3.0,CA,2022-02-02 02:26:24
102,Coruripe,-10.1256,-36.1756,78.31,78,2,8.43,BR,2022-02-02 02:27:28
103,Rocha,-34.4833,-54.3333,58.86,75,0,6.17,UY,2022-02-02 02:23:26
104,Kodiak,57.79,-152.4072,38.71,87,100,6.91,US,2022-02-02 02:27:29
105,Comodoro Rivadavia,-45.8667,-67.5,66.06,63,0,9.22,AR,2022-02-02 02:27:29
106,Bambous Virieux,-20.3428,57.7575,80.22,94,75,26.46,MU,2022-02-02 02:27:30
107,Dilla,6.41,38.31,60.08,55,72,3.56,ET,2022-02-02 02:25:14
108,Saskylakh,71.9167,114.0833,-28.48,100,37,1.16,RU,2022-02-02 02:27:30
109,Ixtapa,20.7,-105.2,74.43,57,0,8.05,MX,2022-02-02 02:27:31
110,Skerries,53.5828,-6.1083,50.09,93,100,21.25,IE,2022-02-02 02:27:31
111,Codrington,-38.2667,141.9667,60.62,55,100,14.56,AU,2022-02-02 02:27:32
112,Tuensang,26.2833,94.8333,50.09,91,76,2.08,IN,2022-02-02 02:27:32
113,Villa Del Rosario,7.8339,-72.4742,77.38,69,40,2.3,CO,2022-02-02 02:27:33
114,Klaksvik,62.2266,-6.589,36.52,66,100,23.15,FO,2022-02-02 02:27:33
115,Limoux,42.9167,2.1667,50.11,81,77,11.63,FR,2022-02-02 02:27:34
116,Shetpe,44.1667,52.1167,33.42,89,7,3.91,KZ,2022-02-02 02:27:34
117,Gurgaon,28.4667,77.0333,51.84,100,0,6.91,IN,2022-02-02 02:23:11
118,Ucluelet,48.9329,-125.5528,40.08,85,30,4.27,CA,2022-02-02 02:26:34
119,Severo-Kurilsk,50.6789,156.125,30.99,74,100,11.25,RU,2022-02-02 02:23:58
120,Zverinogolovskoye,54.4586,64.8542,15.75,85,90,14.16,RU,2022-02-02 02:27:36
121,Presov,49.1667,21.25,30.79,94,100,1.99,SK,2022-02-02 02:27:36
122,Faanui,-16.4833,-151.75,81.07,76,11,19.86,PF,2022-02-02 02:27:37
123,Castro,-24.7911,-50.0119,63.07,95,89,5.48,BR,2022-02-02 02:23:57
124,Cockburn Town,21.4612,-71.1419,75.81,76,39,20.83,TC,2022-02-02 02:27:37
125,Cherskiy,68.75,161.3,10.56,70,99,4.61,RU,2022-02-02 02:27:38
126,Georgetown,5.4112,100.3354,85.93,75,20,5.75,MY,2022-02-02 02:24:33
127,East London,-33.0153,27.9116,76.75,73,100,5.03,ZA,2022-02-02 02:27:39
128,Port Alfred,-33.5906,26.891,77.63,74,100,6.55,ZA,2022-02-02 02:27:39
129,Upernavik,72.7868,-56.1549,-13.7,75,100,5.77,GL,2022-02-02 02:26:23
130,Orotukan,62.2667,151.7,-6.93,96,100,3.85,RU,2022-02-02 02:27:40
131,Hays,30.0502,-98.0336,59.11,80,94,1.01,US,2022-02-02 02:23:36
132,Guilin,25.2819,110.2864,42.91,90,100,7.67,CN,2022-02-02 02:27:41
133,Faya,18.3851,42.4509,50.52,60,0,4.5,SA,2022-02-02 02:27:41
134,Igarka,67.4667,86.5833,5.25,96,99,9.4,RU,2022-02-02 02:27:41
135,Terenos,-20.4422,-54.8603,74.91,88,75,6.91,BR,2022-02-02 02:27:42
136,Gopalpur,19.2667,84.9167,68.27,64,2,5.61,IN,2022-02-02 02:27:42
137,Awjilah,29.1081,21.2869,52.99,41,44,8.25,LY,2022-02-02 02:27:43
138,Carnarvon,-24.8667,113.6333,84.27,70,98,14.97,AU,2022-02-02 02:27:44
139,Tuatapere,-46.1333,167.6833,72.82,75,86,6.96,NZ,2022-02-02 02:27:44
140,Longyearbyen,78.2186,15.6401,22.84,63,75,0.0,SJ,2022-02-02 02:24:06
141,Lasa,46.6166,10.7002,36.48,94,100,9.28,IT,2022-02-02 02:28:45
142,Moss Vale,-34.55,150.3833,61.02,97,100,4.88,AU,2022-02-02 02:28:45
143,Hobart,-42.8794,147.3294,64.26,41,75,1.01,AU,2022-02-02 02:28:46
144,Ponta Do Sol,32.6667,-17.1,69.12,41,100,12.19,PT,2022-02-02 02:28:46
145,Taltal,-25.4,-70.4833,66.27,79,0,2.62,CL,2022-02-02 02:28:48
146,Clyde River,70.4692,-68.5914,-27.17,75,75,3.44,CA,2022-02-02 02:28:49
147,Necochea,-38.5473,-58.7368,60.04,80,51,5.28,AR,2022-02-02 02:28:49
148,Qaanaaq,77.484,-69.3632,-19.75,65,100,11.61,GL,2022-02-02 02:25:20
149,Spas-Demensk,54.4122,34.0226,17.29,95,100,7.4,RU,2022-02-02 02:28:50
150,Quatre Cocos,-20.2078,57.7625,80.1,91,100,31.16,MU,2022-02-02 02:28:51
151,Sechura,-5.5569,-80.8222,72.57,71,10,13.53,PE,2022-02-02 02:28:51
152,Pevek,69.7008,170.3133,-6.52,80,100,3.24,RU,2022-02-02 02:28:52
153,Akyab,20.15,92.9,65.82,65,11,6.53,MM,2022-02-02 02:28:52
154,Brandenburg,52.4167,12.55,43.92,75,95,20.49,DE,2022-02-02 02:28:53
155,Namibe,-15.1961,12.1522,71.64,69,100,10.25,AO,2022-02-02 02:28:53
156,Khatanga,71.9667,102.5,-37.91,98,22,2.53,RU,2022-02-02 02:28:54
157,Nisia Floresta,-6.0911,-35.2086,79.18,83,27,5.06,BR,2022-02-02 02:28:54
158,Garissa,-0.4536,39.6401,76.73,76,100,7.2,KE,2022-02-02 02:28:55
159,Sao Filipe,14.8961,-24.4956,73.26,77,15,14.41,CV,2022-02-02 02:28:55
160,Buta,2.7858,24.73,69.82,54,100,1.12,CD,2022-02-02 02:28:56
161,Iqaluit,63.7506,-68.5145,-7.31,69,75,17.0,CA,2022-02-02 02:28:57
162,Nalut,30.3333,10.85,43.45,64,93,11.83,LY,2022-02-02 02:28:57
163,Seddon,-37.8068,144.8916,68.47,49,75,19.57,AU,2022-02-02 02:29:01
164,Koumac,-20.5667,164.2833,84.65,63,68,11.05,NC,2022-02-02 02:29:01
165,Tuktoyaktuk,69.4541,-133.0374,-27.4,68,20,0.0,CA,2022-02-02 02:27:41
166,Nyurba,63.2842,118.3319,-29.25,99,93,3.33,RU,2022-02-02 02:29:02
167,Ribeira Grande,38.5167,-28.7,59.52,73,63,12.82,PT,2022-02-02 02:29:03
168,Hermanus,-34.4187,19.2345,66.9,83,3,3.53,ZA,2022-02-02 02:29:03
169,Butaritari,3.0707,172.7902,82.22,76,17,12.35,KI,2022-02-02 02:29:04
170,Port Hardy,50.6996,-127.4199,39.76,93,100,2.3,CA,2022-02-02 02:29:04
171,Saldanha,-33.0117,17.9442,66.25,97,67,12.62,ZA,2022-02-02 02:29:05
172,Bonavista,48.6499,-53.1147,18.12,69,100,20.98,CA,2022-02-02 02:29:06
173,Caramay,10.1815,119.236,80.38,84,97,12.21,PH,2022-02-02 02:29:06
174,Butembo,0.15,29.2833,62.22,62,100,2.73,CD,2022-02-02 02:29:07
175,Cidreira,-30.1811,-50.2056,72.64,74,0,13.4,BR,2022-02-02 02:25:08
176,Zhigansk,66.7697,123.3711,-26.82,99,90,9.01,RU,2022-02-02 02:29:08
177,Port Augusta,-32.5,137.7667,74.71,27,0,20.51,AU,2022-02-02 02:29:08
178,Dikson,73.5069,80.5464,2.16,94,100,16.62,RU,2022-02-02 02:29:09
179,La Ronge,55.1001,-105.2842,-10.95,64,20,11.5,CA,2022-02-02 02:29:09
180,Pangai,-19.8,-174.35,80.92,66,8,7.78,TO,2022-02-02 02:29:10
181,Rundu,-17.9333,19.7667,63.43,96,99,4.76,NA,2022-02-02 02:29:10
182,Illkirch-Graffenstaden,48.5289,7.7152,48.27,71,100,10.36,FR,2022-02-02 02:29:11
183,Chokurdakh,70.6333,147.9167,-8.91,94,100,7.0,RU,2022-02-02 02:41:05
184,Yenagoa,4.9247,6.2642,75.36,80,9,3.67,NG,2022-02-02 02:41:06
185,Methven,-43.6333,171.65,76.46,50,99,10.18,NZ,2022-02-02 02:41:06
186,Nam Som,17.7704,102.1895,80.42,61,14,5.91,TH,2022-02-02 02:41:07
187,San Quintin,30.4833,-115.95,58.42,68,56,8.21,MX,2022-02-02 02:41:07
188,Hamilton,39.1834,-84.5333,48.97,54,0,3.44,US,2022-02-02 02:36:17
189,Ilulissat,69.2167,-51.1,3.22,51,100,6.91,GL,2022-02-02 02:41:08
190,Manaure,11.7751,-72.4445,77.7,81,0,16.42,CO,2022-02-02 02:41:08
191,Moissala,8.3404,17.7663,66.56,21,3,4.85,TD,2022-02-02 02:41:09
192,Gudur,14.1333,79.85,70.92,70,17,5.32,IN,2022-02-02 02:41:09
193,Oranjestad,12.524,-70.027,78.75,83,20,17.27,AW,2022-02-02 02:41:10
194,Provideniya,64.3833,-173.3,14.11,62,20,29.08,RU,2022-02-02 02:41:10
195,Nemuro,43.3236,145.575,25.23,64,21,19.44,JP,2022-02-02 02:41:11
196,Ordzhonikidze,52.4411,61.7408,18.39,88,100,12.91,KZ,2022-02-02 02:41:11
197,Te Anau,-45.4167,167.7167,66.25,98,100,4.47,NZ,2022-02-02 02:41:12
198,Paamiut,61.994,-49.6678,1.33,87,100,8.72,GL,2022-02-02 02:39:11
199,Shimoda,34.6667,138.95,52.16,41,1,12.84,JP,2022-02-02 02:41:12
200,Ko Samui,9.5357,99.9357,84.11,70,40,6.91,TH,2022-02-02 02:41:13
201,Gondanglegi,-7.7479,112.0132,85.87,67,24,5.3,ID,2022-02-02 02:41:13
202,Satara,17.6833,73.9833,70.29,27,0,1.68,IN,2022-02-02 02:40:00
203,Broome,42.2506,-75.833,30.97,68,0,3.0,US,2022-02-02 02:41:14
204,Shar,49.5886,81.0453,-11.83,88,11,4.74,KZ,2022-02-02 02:41:15
205,Grand Gaube,-20.0064,57.6608,80.38,82,100,20.0,MU,2022-02-02 02:41:15
206,Letlhakeng,-24.0944,25.0298,68.9,72,69,8.81,BW,2022-02-02 02:41:16
207,Turka,49.1541,23.0297,28.8,87,100,16.4,UA,2022-02-02 02:41:16
208,Ushtobe,45.2514,77.9838,16.38,83,62,10.94,KZ,2022-02-02 02:41:16
209,Gao,16.6362,1.637,63.28,13,99,8.93,ML,2022-02-02 02:41:17
210,Ust-Nera,64.5667,143.2,0.01,97,100,3.33,RU,2022-02-02 02:41:18
211,Cacoal,-11.4386,-61.4472,72.23,92,78,1.97,BR,2022-02-02 02:41:18
212,Poronaysk,49.2167,143.1167,16.5,74,13,6.44,RU,2022-02-02 02:41:19
213,Yurimaguas,-5.9,-76.0833,77.0,68,72,1.32,PE,2022-02-02 02:38:16
214,Vallenar,-28.5708,-70.7581,66.31,64,0,3.58,CL,2022-02-02 02:41:20
215,Tura,25.5198,90.2201,62.73,53,0,2.26,IN,2022-02-02 02:41:20
216,Lorengau,-2.0226,147.2712,77.56,86,100,6.71,PG,2022-02-02 02:41:20
217,Bethel,41.3712,-73.414,34.16,74,100,0.0,US,2022-02-02 02:37:21
218,Norman Wells,65.282,-126.8329,-29.16,68,20,2.3,CA,2022-02-02 02:41:21
219,Spearfish,44.4908,-103.8594,11.08,57,0,0.0,US,2022-02-02 02:41:22
220,Marsh Harbour,26.5412,-77.0636,68.18,56,100,19.04,BS,2022-02-02 02:41:22
221,Fairbanks,64.8378,-147.7164,-18.98,72,0,0.0,US,2022-02-02 02:41:22
222,Basco,20.4487,121.9702,74.55,72,16,16.87,PH,2022-02-02 02:41:23
223,Eslov,55.8393,13.3039,40.23,94,100,2.82,SE,2022-02-02 02:41:23
224,Nieuw Amsterdam,5.8833,-55.0833,78.03,86,28,9.84,SR,2022-02-02 02:41:24
225,Erdenet,49.0333,104.0833,-1.75,80,33,4.85,MN,2022-02-02 02:41:24
226,Boyolangu,-8.1181,111.8935,86.29,61,31,0.94,ID,2022-02-02 02:41:25
227,Varna,43.2167,27.9167,34.23,93,100,8.05,BG,2022-02-02 02:41:26
228,Westport,41.1415,-73.3579,35.56,71,100,3.0,US,2022-02-02 02:41:26
229,Cabo San Lucas,22.8909,-109.9124,70.52,62,0,5.99,MX,2022-02-02 02:41:26
230,Oktyabrskiy,54.4815,53.471,25.65,90,95,13.71,RU,2022-02-02 02:42:27
231,Stawell,-37.05,142.7667,68.86,31,2,17.31,AU,2022-02-02 02:42:27
232,Husavik,66.0449,-17.3389,8.51,79,95,8.81,IS,2022-02-02 02:42:28
233,Iskateley,67.6803,53.1512,-0.51,97,100,6.55,RU,2022-02-02 02:39:09
234,Mount Gambier,-37.8333,140.7667,64.31,45,100,13.8,AU,2022-02-02 02:40:26
235,Maltahohe,-24.8333,16.9833,69.42,71,89,5.37,NA,2022-02-02 02:42:29
236,Ningyang,35.7642,116.7914,38.62,25,25,4.36,CN,2022-02-02 02:42:29
237,Burkburnett,34.0979,-98.5706,57.65,43,0,8.05,US,2022-02-02 02:42:30
238,Neryungri,56.6709,124.6491,-7.71,89,100,11.5,RU,2022-02-02 02:41:23
239,Najran,17.4924,44.1277,59.65,36,1,4.76,SA,2022-02-02 02:42:31
240,Murmashi,68.8154,32.8115,-3.59,84,75,0.0,RU,2022-02-02 02:42:31
241,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,74.48,87,36,1.05,BR,2022-02-02 02:42:32
242,Afikpo,5.8931,7.9374,71.64,88,2,2.66,NG,2022-02-02 02:42:32
243,Sisimiut,66.9395,-53.6735,5.65,89,100,11.81,GL,2022-02-02 02:42:32
244,Swanton,41.5887,-83.8911,46.38,78,100,9.22,US,2022-02-02 02:42:33
245,Kaoma,-14.7833,24.8,63.72,93,100,2.37,ZM,2022-02-02 02:42:34
246,Mende,44.6667,3.5,34.38,98,100,9.15,FR,2022-02-02 02:42:34
247,Melfi,40.9965,15.6514,37.49,76,7,7.0,IT,2022-02-02 02:42:35
