City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Aberdeen,GB,57.1437,-2.0981,51.49,83,100,6.91,overcast clouds
78,Ihosy,MG,-22.4,46.1167,63.68,94,34,9.84,scattered clouds
79,Atuona,PF,-9.8,-139.0333,78.39,76,94,15.35,light rain
80,Avarua,CK,-21.2078,-159.775,82.45,78,75,18.41,broken clouds
81,Busselton,AU,-33.65,115.3333,67.05,44,100,14.58,overcast clouds
82,Khatanga,RU,71.9667,102.5,-36.31,98,51,2.13,broken clouds
83,Talnakh,RU,69.4865,88.3972,-7.55,99,93,6.22,overcast clouds
84,Hithadhoo,MV,-0.6,73.0833,81.61,69,47,3.76,scattered clouds
85,Hilo,US,19.7297,-155.09,80.33,68,75,6.91,broken clouds
86,Pangody,RU,65.85,74.4859,-2.07,95,97,14.67,overcast clouds
87,Ilulissat,GL,69.2167,-51.1,-0.38,60,20,25.32,few clouds
88,Provideniya,RU,64.3833,-173.3,10.51,72,75,35.79,broken clouds
89,Nicoya,CR,10.1483,-85.452,87.35,55,10,3.67,clear sky
90,Praia,CV,14.9215,-23.5087,72.14,68,2,20.71,clear sky
91,Mar Del Plata,AR,-38.0023,-57.5575,79.09,61,0,6.91,clear sky
92,Boende,CD,-0.2167,20.8667,76.75,45,100,2.66,overcast clouds
93,Ambilobe,MG,-13.2,49.05,73.47,96,99,0.94,overcast clouds
94,Camacha,PT,33.0833,-16.3333,63.54,94,40,10.36,scattered clouds
95,Santa Luzia,BR,-19.7697,-43.8514,72.68,86,40,3.44,scattered clouds
96,Haines Junction,CA,60.7522,-137.5108,1.35,60,100,2.3,overcast clouds
97,Hohhot,CN,40.8106,111.6522,-1.91,65,0,6.71,clear sky
98,Vao,NC,-22.6667,167.4833,77.83,76,97,14.12,overcast clouds
99,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,75,13.8,light snow
100,Dzyhivka,UA,48.359,28.3158,26.51,87,47,3.4,scattered clouds
101,Ogaminana,NG,7.5946,6.2248,78.03,20,20,2.57,few clouds
102,Spas-Klepiki,RU,55.1347,40.1767,7.27,98,100,3.09,overcast clouds
103,Victoria,HK,22.2855,114.1577,59.95,93,100,5.99,overcast clouds
104,Longjiang,CN,47.3303,123.1836,-4.68,81,20,6.51,few clouds
105,Ostrovnoy,RU,68.0531,39.5131,20.79,91,100,14.63,light snow
106,Okhotsk,RU,59.3833,143.3,7.25,76,100,14.81,overcast clouds
107,Bull Savanna,JM,17.8868,-77.5902,75.52,77,4,11.56,clear sky
108,Iqaluit,CA,63.7506,-68.5145,8.33,85,100,9.22,light snow
109,Ascension,US,30.2169,-90.9001,78.06,69,40,4.61,scattered clouds
110,Sijunjung,ID,-0.6876,100.9537,71.44,98,85,1.05,overcast clouds
111,North Augusta,US,33.5018,-81.9651,65.88,58,75,8.05,broken clouds
112,Aqtobe,KZ,50.2797,57.2072,19.49,86,100,11.18,overcast clouds
113,Castro,BR,-24.7911,-50.0119,65.95,92,40,5.7,scattered clouds
114,East London,ZA,-33.0153,27.9116,74.53,94,67,12.88,light rain
115,Kavaratti,IN,10.5669,72.642,79.39,73,15,11.16,few clouds
116,Dikson,RU,73.5069,80.5464,-8.01,98,93,10.04,overcast clouds
117,Lincoln,US,40.8,-96.667,17.65,38,75,3.0,broken clouds
118,Atasu,KZ,48.6814,71.6433,10.9,85,100,5.53,overcast clouds
119,Strezhevoy,RU,60.7333,77.5889,21.18,91,100,10.04,overcast clouds
120,Bud,US,39.447,-86.1758,40.42,97,100,14.81,snow
121,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,73.49,94,98,5.06,overcast clouds
122,Nizhniy Tsasuchey,RU,50.5167,115.1333,-16.01,94,16,5.79,few clouds
123,Tarko-Sale,RU,64.9225,77.785,-9.63,97,58,13.13,broken clouds
124,Leningradskiy,RU,69.3833,178.4167,-13.59,94,30,9.89,scattered clouds
125,Chapais,CA,49.7834,-74.8492,13.78,90,100,7.72,overcast clouds
126,Lagoa,PT,39.05,-27.9833,58.17,73,5,7.61,clear sky
127,Berlevag,NO,70.8578,29.0864,19.2,64,100,11.88,light snow
128,Kulu,TR,39.0951,33.0799,38.25,79,100,21.99,overcast clouds
129,Ahipara,NZ,-35.1667,173.1667,75.31,68,100,13.33,overcast clouds
130,Seminole,US,28.7086,-81.2081,75.47,60,0,1.01,clear sky
131,Gari,RU,59.4307,62.3497,15.96,94,40,8.52,scattered clouds
132,Vico Equense,IT,40.6598,14.4317,51.55,73,0,1.01,clear sky
133,Byron Bay,AU,-28.65,153.6167,76.87,96,98,12.82,light rain
134,Mehran,IR,33.1222,46.1646,44.08,47,99,3.0,overcast clouds
135,Amga,RU,60.8953,131.9608,-33.43,100,81,1.23,broken clouds
136,Sitka,US,57.0531,-135.33,37.29,93,100,4.61,light rain
137,Nouadhibou,MR,20.931,-17.0347,71.58,56,1,14.97,sand
138,Nha Trang,VN,12.25,109.1833,73.4,93,53,5.41,broken clouds
139,Misratah,LY,32.3754,15.0925,57.94,76,69,27.56,broken clouds
140,Lasa,IT,46.6166,10.7002,43.54,94,72,8.34,broken clouds
141,Hobart,AU,-42.8794,147.3294,61.11,58,75,1.99,broken clouds
142,Forrest City,US,35.0081,-90.7898,40.86,87,100,15.35,overcast clouds
143,North Bend,US,43.4065,-124.2243,50.94,97,100,5.75,mist
144,Lompoc,US,34.6391,-120.4579,66.78,20,0,14.97,clear sky
145,Saldanha,ZA,-33.0117,17.9442,66.25,88,63,7.94,broken clouds
146,Kalamazoo,US,42.2506,-85.55,25.18,87,100,11.5,snow
147,Butaritari,KI,3.0707,172.7902,81.66,79,28,17.27,light rain
148,Santa Isabel,BR,-23.3156,-46.2214,70.9,99,100,2.93,overcast clouds
149,Lishui,CN,28.4604,119.9103,37.02,97,100,3.31,overcast clouds
150,Vieux-Habitants,GP,16.0589,-61.7659,78.37,74,1,10.94,clear sky
151,Salalah,OM,17.0151,54.0924,78.89,21,0,10.36,clear sky
152,San Rafael,AR,-34.6177,-68.3301,78.48,48,22,7.16,light rain
153,Richards Bay,ZA,-28.783,32.0377,76.87,83,6,14.92,clear sky
154,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.01,85,96,4.25,overcast clouds
155,Kavieng,PG,-2.5744,150.7967,78.96,84,100,14.27,light rain
156,Samarai,PG,-10.6167,150.6667,81.59,75,98,6.58,overcast clouds
157,Kaitangata,NZ,-46.2817,169.8464,54.03,94,100,5.06,overcast clouds
158,Banjar,ID,-8.19,114.9675,76.91,88,89,5.08,overcast clouds
159,Tynda,RU,55.1667,124.7167,-22.23,94,60,4.45,broken clouds
160,Pevek,RU,69.7008,170.3133,-7.83,75,25,5.23,scattered clouds
161,Mongu,ZM,-15.2484,23.1274,69.89,83,100,3.58,light rain
162,Kismayo,SO,-0.3582,42.5454,78.58,87,100,14.34,overcast clouds
163,Straumen,NO,63.8709,11.2999,27.63,91,100,5.26,overcast clouds
164,Krasnoselkup,RU,65.7,82.4667,-21.87,100,89,6.22,overcast clouds
165,Koslan,RU,63.4564,48.8989,20.68,96,100,4.29,light snow
166,Gazli,UZ,40.1333,63.45,39.87,64,0,4.7,clear sky
167,Saskylakh,RU,71.9167,114.0833,-30.6,100,28,3.04,scattered clouds
168,Souillac,MU,-20.5167,57.5167,80.37,94,75,31.07,moderate rain
169,Bizhbulyak,RU,53.6967,54.2642,24.48,96,100,12.86,overcast clouds
170,Lata,PT,40.1629,-8.3327,49.06,73,96,2.35,overcast clouds
171,Klaksvik,FO,62.2266,-6.589,40.12,72,100,14.88,overcast clouds
172,Isangel,VU,-19.55,169.2667,86.11,84,75,3.44,broken clouds
173,Bestobe,KZ,52.4994,73.0975,12.79,86,100,7.47,overcast clouds
174,Inhambane,MZ,-23.865,35.3833,75.88,86,13,5.86,few clouds
175,Atar,MR,20.5169,-13.0499,74.07,19,0,8.34,clear sky
176,Panguna,PG,-6.3164,155.4848,76.77,77,99,2.13,light rain
177,Kuching,MY,1.55,110.3333,75.42,94,20,1.14,few clouds
178,Monrovia,LR,6.3005,-10.7969,76.77,82,10,8.3,clear sky
179,Mackay,AU,-21.15,149.2,87.67,79,40,5.75,scattered clouds
180,Torbay,CA,47.6666,-52.7314,24.49,85,20,8.05,few clouds
181,Mangrol,IN,21.1167,70.1167,71.51,81,18,12.93,few clouds
182,Tiksi,RU,71.6872,128.8694,-5.15,97,100,6.85,overcast clouds
183,Yellowknife,CA,62.456,-114.3525,-24.45,75,20,3.44,few clouds
184,Guachucal,CO,0.9609,-77.7316,57.49,58,40,11.5,scattered clouds
185,Broken Hill,AU,-31.95,141.4333,58.71,55,0,24.16,clear sky
186,Norman Wells,CA,65.282,-126.8329,-21.96,69,75,13.8,broken clouds
187,Anadyr,RU,64.75,177.4833,9.1,71,0,35.79,clear sky
188,Ancud,CL,-41.8697,-73.8203,67.53,78,96,5.59,overcast clouds
189,Iba,PH,15.3667,120.0333,73.54,72,26,4.29,scattered clouds
190,Sakakah,SA,29.9697,40.2064,51.37,42,36,8.75,scattered clouds
191,Kailua,US,21.4022,-157.7394,82.08,66,40,6.91,scattered clouds
192,Recas,RO,45.7989,21.5008,34.03,100,75,5.75,broken clouds
193,Qaanaaq,GL,77.484,-69.3632,-13.7,83,100,6.87,overcast clouds
194,Port Macquarie,AU,-31.4333,152.9167,68.9,100,75,10.36,light rain
195,Port Hedland,AU,-20.3167,118.5667,78.85,100,97,5.75,overcast clouds
196,Bayir,TR,37.2687,28.2167,52.32,88,100,20.04,overcast clouds
197,Saint Anthony,US,45.0205,-93.218,5.95,55,0,5.99,clear sky
198,Ridgecrest,US,35.6225,-117.6709,56.16,13,0,7.0,clear sky
199,Akyab,MM,20.15,92.9,62.13,73,5,6.73,clear sky
200,Phuket,TH,8.0,98.25,79.02,83,20,3.44,few clouds
201,Artyom,AZ,40.4723,50.333,44.74,79,18,21.39,few clouds
202,Nouakchott,MR,18.0858,-15.9785,80.53,26,0,12.01,clear sky
203,Georgetown,MY,5.4112,100.3354,80.53,90,20,3.0,few clouds
204,Port-Gentil,GA,-0.7193,8.7815,80.71,78,22,10.67,few clouds
205,Cherskiy,RU,68.75,161.3,-16.02,67,60,0.94,broken clouds
206,Gold Coast,AU,-28.0,153.4333,83.16,89,98,5.01,overcast clouds
207,Airai,TL,-8.9266,125.4092,62.89,85,100,2.77,moderate rain
208,Gallup,US,35.5281,-108.7426,25.56,79,100,5.01,overcast clouds
209,Itupiranga,BR,-5.1347,-49.3267,75.52,95,31,2.35,scattered clouds
210,Quatre Cocos,MU,-20.2078,57.7625,80.1,89,100,30.56,light rain
211,Sarangani,PH,5.4033,125.4636,78.24,85,100,26.84,overcast clouds
212,Katsuura,JP,35.1333,140.3,41.18,51,44,8.3,scattered clouds
213,Naze,JP,28.3667,129.4833,54.52,88,100,24.29,overcast clouds
214,Bonavista,CA,48.6499,-53.1147,25.12,71,29,19.55,scattered clouds
215,Thompson,CA,55.7435,-97.8558,-9.24,59,20,12.66,few clouds
216,Kefamenanu,ID,-9.4467,124.4781,73.13,88,99,3.27,overcast clouds
217,Gat,IL,31.61,34.7642,51.82,54,98,2.57,overcast clouds
218,Tahta,EG,26.7693,31.5021,55.71,37,65,2.28,broken clouds
219,Guapiles,CR,10.2159,-83.7866,87.44,74,20,5.08,few clouds
220,Qasigiannguit,GL,68.8193,-51.1922,-10.7,65,66,11.81,broken clouds
221,Benguela,AO,-12.5763,13.4055,73.98,75,25,2.26,scattered clouds
222,Husavik,IS,66.0449,-17.3389,17.51,94,99,5.1,overcast clouds
223,Wattegama,LK,6.7989,81.4808,66.76,92,47,3.98,scattered clouds
224,Flinders,AU,-34.5833,150.8552,69.19,68,76,14.0,broken clouds
225,Okha,RU,53.5739,142.9478,2.1,94,100,26.28,snow
226,Turukhansk,RU,65.8167,87.9833,-0.69,97,99,6.08,overcast clouds
227,Ixtapa,MX,20.7,-105.2,75.22,73,1,5.01,clear sky
228,Aykhal,RU,66.0,111.5,-21.01,100,5,3.38,clear sky
229,Puksoozero,RU,62.5903,40.6066,9.45,98,100,2.1,overcast clouds
230,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,80,19,8.57,few clouds
231,Miri,MY,4.4148,114.0089,75.34,100,40,2.3,scattered clouds
